"Artist","artist_id","genres","followers","artist_popularity","alternative rock","art pop","australian pop","canadian pop","dance pop","edm","electropop","hopebeat","house","indie pop","indie poptimism","indietronica","metropopolis","pop","pop dance","pop edm","pov: indie","rock","swedish idol pop","swedish pop","talent show","tropical","tropical house","uk pop"
"Flor","3b8QkneNDz4JHKKKlLgYZg","contemporary country,country,country pop,country road,modern country rock",5251222,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Florence + the Machine","1moxjboGR7GNWYIMWsRjgG","baroque pop,modern rock,neo mellow,uk alternative pop",6376098,77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Florrie","2fkmfYw1KeOiDLA6MHDwU8","electropop,uk pop",82254,32,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Flume","6nxWCVXbOlEVRexSbLsTer","australian dance,australian electropop,australian indie,downtempo,edm,indietronica",2388128,72,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Fly By Midnight","4rQTEdG6hDVOlDUFKs9EjZ","",177894,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FM-84","1xvEo98zythSrgN69GQevk","popwave,synthwave",129802,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Foxes","7qRll6DYV06u2VuRPAVqug","electropop,metropopolis,uk pop",307641,60,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Francesca Battistelli","29ywwKkxfoH7iWwNY1UezA","ccm,christian alternative rock,christian music,worship",557011,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Frank Sinatra","1Mxqyy3pSjf8kZZL4QVxS0","adult standards,easy listening,lounge",6304287,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fun.","5nCi3BB41mBaMH9gfr6Su0","baroque pop,metropopolis",3515653,67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
