"Artist","Track","cluster","total_track_streams"
"Hannah Montana","The Best of Both Worlds","7: Dance Songs",72
"Kim Petras","Heart to Break","3: ""Speak"" Pop",72
"Lady Gaga","Monster","5: Live Songs",72
"Marina","No More Suckers","7: Dance Songs",72
"Sia","Chandelier","8: Anthem Songs",72
"The Band CAMINO","Underneath My Skin","7: Dance Songs",72
"Ariana Grande","Thinking Bout You","8: Anthem Songs",71
"Cheat Codes","On My Life","7: Dance Songs",71
"Andy Williams","It's the Most Wonderful Time of the Year","6: Energy Pop",70
"Fickle Friends","Say No More - Acoustic","2: ""The Feels""",70
"Fickle Friends","Won't Hurt Myself","7: Dance Songs",70
"MATOMA","Sunday Morning (feat. Josie Dunne)","8: Anthem Songs",70
"Seeb","Free To Go","8: Anthem Songs",70
"Britney Spears","Womanizer","8: Anthem Songs",69
"Charli XCX","New Shapes (feat. Christine and the Queens and Caroline Polachek)","7: Dance Songs",69
"Ellie Goulding","The Writer","8: Anthem Songs",69
"Katy Perry","Firework","7: Dance Songs",69
"Kelly Clarkson","Dance with Me","8: Anthem Songs",69
"MUNA","I Know A Place","7: Dance Songs",69
"tyDi","Redefined (feat. Melanie Fontana & Novaspace) [Club Edit]","8: Anthem Songs",69
"Carly Rae Jepsen","Call Me Maybe - 10 Kings vs Ollie Green Remix","7: Dance Songs",68
"Charlie Puth","How Long","7: Dance Songs",68
"Cheat Codes","Do It All Over (feat. Marc E. Bassy)","8: Anthem Songs",68
"Florence + the Machine","Shake It Out","8: Anthem Songs",68
"Serg Halen","Space Bridge","1: Instrumental Songs",68
"Allie X","Glam!","7: Dance Songs",67
"Cheat Codes","F*ck Everyone But You","7: Dance Songs",67
"Nile Rodgers","I Want Your Love","8: Anthem Songs",67
"Pierce Fulton","Kuaga (Lost Time) (Radio Edit)","8: Anthem Songs",67
"Snow Patrol","Chasing Cars","4: Sad Bops",67
"Taylor Swift","New Romantics","7: Dance Songs",67
"The Midnight","Vampires","8: Anthem Songs",67
"Britney Spears","Gimme More","8: Anthem Songs",66
"Gryffin","Feel Good","8: Anthem Songs",66
"Marina","Sex Yeah","8: Anthem Songs",66
"R3hab","Be Okay (with HRVY)","7: Dance Songs",66
"Samantha Jade","Sweet Talk","7: Dance Songs",66
"Vigiland","Take This Ride","5: Live Songs",66
"Bebe Rexha","I Got You","7: Dance Songs",65
"Daya","Hide Away","7: Dance Songs",65
"Giorgio Moroder","Wildstar","5: Live Songs",65
"Kelly Clarkson","White Christmas","2: ""The Feels""",65
